STASIUN;TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS;FF_X;DDD_X;FF_AVG;DDD_CAR
Stasiun Klimatologi Aceh;01/01/2021;22.2;30.7;28;77;0;6.1;5;140;3;SE
Stasiun Klimatologi Aceh;01/01/2021;22.2;30.7;28;77;0;6.1;5;140;3;SE
Stasiun Klimatologi Aceh;02/01/2021;23.4;29.6;27.5;79;0.9;3.8;4;140;4;SE
Stasiun Klimatologi Aceh;02/01/2021;23.4;29.6;27.5;79;0.9;3.8;4;140;4;SE
Stasiun Klimatologi Aceh;03/01/2021;23.7;29.2;27.2;80;8888;1;5;130;3;SE
Stasiun Klimatologi Aceh;03/01/2021;23.7;29.2;27.2;80;8888;1;5;130;3;SE
Stasiun Klimatologi Aceh;04/01/2021;23.2;32.6;27.2;80;0;0.5;4;120;2;SE
Stasiun Klimatologi Aceh;04/01/2021;23.2;32.6;27.2;80;0;0.5;4;120;2;SE
Stasiun Klimatologi Aceh;05/01/2021;23;30;26.7;85;59;6.3;3;120;2;SE
Stasiun Klimatologi Aceh;05/01/2021;23;30;26.7;85;59;6.3;3;120;2;SE
Stasiun Klimatologi Aceh;06/01/2021;22.8;31.8;29;77;0.4;1.4;4;140;2;SE
Stasiun Klimatologi Aceh;06/01/2021;22.8;31.8;29;77;0.4;1.4;4;140;2;SE
Stasiun Klimatologi Aceh;07/01/2021;23.6;33;29.2;74;0;3.8;5;120;3;SE
Stasiun Klimatologi Aceh;07/01/2021;23.6;33;29.2;74;0;3.8;5;120;3;SE
Stasiun Klimatologi Aceh;08/01/2021;23.4;31.6;28.3;76;7;7.8;5;140;2;SE
Stasiun Klimatologi Aceh;08/01/2021;23.4;31.6;28.3;76;7;7.8;5;140;2;SE
Stasiun Klimatologi Aceh;09/01/2021;22.8;31.2;27.4;81;6;2.6;5;150;3;S 
Stasiun Klimatologi Aceh;09/01/2021;22.8;31.2;27.4;81;6;2.6;5;150;3;S 
Stasiun Klimatologi Aceh;10/01/2021;22.8;31.1;26;89;4.5;4.1;4;100;2;SE
Stasiun Klimatologi Aceh;10/01/2021;22.8;31.1;26;89;4.5;4.1;4;100;2;SE
Stasiun Klimatologi Aceh;11/01/2021;23.2;31.9;28;80;76.2;0.3;4;130;3;SE
Stasiun Klimatologi Aceh;11/01/2021;23.2;31.9;28;80;76.2;0.3;4;130;3;SE
Stasiun Klimatologi Aceh;12/01/2021;23;30;26.3;81;0.4;6.6;6;130;4;SE
Stasiun Klimatologi Aceh;13/01/2021;23.4;30.2;26.7;84;1.2;0.7;4;120;2;SE
Stasiun Klimatologi Aceh;13/01/2021;23.4;30.2;26.7;84;1.2;0.7;4;120;2;SE
Stasiun Klimatologi Aceh;14/01/2021;23;30.6;28;77;18.1;3.1;5;80;3;SE
Stasiun Klimatologi Aceh;14/01/2021;23;30.6;28;77;18.1;3.1;5;80;3;SE
Stasiun Klimatologi Aceh;15/01/2021;22.8;31.6;27.2;83;1.5;6.4;3;130;2;SE
Stasiun Klimatologi Aceh;15/01/2021;22.8;31.6;27.2;83;1.5;6.4;3;130;2;SE
Stasiun Klimatologi Aceh;16/01/2021;23;28.6;26.4;85;8.1;3;2;140;1;SE
Stasiun Klimatologi Aceh;16/01/2021;23;28.6;26.4;85;8.1;3;2;140;1;SE
Stasiun Klimatologi Aceh;17/01/2021;22.8;31.6;28.1;77;0.1;0.5;5;130;3;SE
Stasiun Klimatologi Aceh;18/01/2021;22.8;30.2;27.4;78;5.6;1.4;5;140;4;SE
Stasiun Klimatologi Aceh;19/01/2021;22.6;31.4;28.3;76;-;3.4;4;130;2;SE
Stasiun Klimatologi Aceh;20/01/2021;22.2;31.2;27.5;77;103.5;6.7;3;150;2;SE
Stasiun Klimatologi Aceh;21/01/2021;22.2;31.8;28.7;72;-;5.8;2;140;2;SE
Stasiun Klimatologi Aceh;21/01/2021;22.2;31.8;28.7;72;-;5.8;2;140;2;SE
Stasiun Klimatologi Aceh;22/01/2021;23.1;31.1;28;77;-;7.6;4;330;2;SE
Stasiun Klimatologi Aceh;23/01/2021;22.8;31.5;28.1;77;0;7.3;3;230;2;SE
Stasiun Klimatologi Aceh;24/01/2021;22.8;29.8;27.2;81;-;6.7;4;290;2;SE
Stasiun Klimatologi Aceh;24/01/2021;22.8;29.8;27.2;81;-;6.7;4;290;2;SE
Stasiun Klimatologi Aceh;25/01/2021;22;31.2;27.3;80;3.1;5.1;3;130;2;SE
Stasiun Klimatologi Aceh;25/01/2021;22;31.2;27.3;80;3.1;5.1;3;130;2;SE
Stasiun Klimatologi Aceh;26/01/2021;21.6;32;28.7;74;8.4;4.1;5;120;3;SE
Stasiun Klimatologi Aceh;26/01/2021;21.6;32;28.7;74;8.4;4.1;5;120;3;SE
Stasiun Klimatologi Aceh;27/01/2021;23;31.4;27.7;79;0;8.4;4;320;2;NW
Stasiun Klimatologi Aceh;27/01/2021;23;31.4;27.7;79;0;8.4;4;320;2;NW
Stasiun Klimatologi Aceh;28/01/2021;22.8;31.4;27.8;79;2.5;6;4;140;3;SE
Stasiun Klimatologi Aceh;29/01/2021;22.6;31.4;28.3;73;-;4;5;120;3;SE
Stasiun Klimatologi Aceh;29/01/2021;22.6;31.4;28.3;73;-;4;5;120;3;SE
Stasiun Klimatologi Aceh;30/01/2021;22.2;31.6;28;72;0;6.9;5;120;3;SE
Stasiun Klimatologi Aceh;31/01/2021;22.2;31.2;28.3;74;-;7.9;5;130;3;SE
Stasiun Klimatologi Aceh;01/02/2021;22.8;31.9;28.5;73;0;7.4;5;120;3;SE
Stasiun Klimatologi Aceh;01/02/2021;22.8;31.9;28.5;73;0;7.4;5;120;3;SE
Stasiun Klimatologi Aceh;02/02/2021;22.4;31.7;28.2;80;10.5;7.6;3;130;2;SE
Stasiun Klimatologi Aceh;02/02/2021;22.4;31.7;28.2;80;10.5;7.6;3;130;2;SE
Stasiun Klimatologi Aceh;03/02/2021;23.4;32.4;29.4;73;-;5.5;4;150;3;SE
Stasiun Klimatologi Aceh;03/02/2021;23.4;32.4;29.4;73;-;5.5;4;150;3;SE
Stasiun Klimatologi Aceh;04/02/2021;23;31.2;28;72;0;7.8;5;120;3;SE
