STASIUN;TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS;FF_X;DDD_X;FF_AVG;DDD_CAR
Stasiun Meteorologi H. AS. Hanandjoeddin;01/01/2021;22.2;29.6;26.5;91;6.6;0;9;320;3;NW
Stasiun Meteorologi H. AS. Hanandjoeddin;01/01/2021;22.2;29.6;26.5;91;6.6;0;9;320;3;NW
Stasiun Meteorologi H. AS. Hanandjoeddin;02/01/2021;23.2;29.6;25.9;90;9.9;2.3;6;280;2;C 
Stasiun Meteorologi H. AS. Hanandjoeddin;03/01/2021;23.2;32.2;26.7;88;1.1;1.8;5;280;2;W 
Stasiun Meteorologi H. AS. Hanandjoeddin;03/01/2021;23.2;32.2;26.7;88;1.1;1.8;5;280;2;W 
Stasiun Meteorologi H. AS. Hanandjoeddin;04/01/2021;23.5;30;26.1;88;0.5;5.5;8;300;2;N 
Stasiun Meteorologi H. AS. Hanandjoeddin;05/01/2021;-;30.3;27.3;90;-;4.3;8;340;2;N 
Stasiun Meteorologi H. AS. Hanandjoeddin;06/01/2021;24.8;30.6;26.8;91;-;3.1;6;340;3;N 
Stasiun Meteorologi H. AS. Hanandjoeddin;07/01/2021;24.6;29;26.6;89;4;4.5;9;330;3;N 
Stasiun Meteorologi H. AS. Hanandjoeddin;08/01/2021;23.6;30.5;27.5;84;0.8;0.3;8;320;2;N 
Stasiun Meteorologi H. AS. Hanandjoeddin;09/01/2021;24.8;30.1;25.8;93;-;6.5;4;310;2;NW
Stasiun Meteorologi H. AS. Hanandjoeddin;09/01/2021;24.8;30.1;25.8;93;-;6.5;4;310;2;NW
Stasiun Meteorologi H. AS. Hanandjoeddin;10/01/2021;23.8;30.2;26.7;90;19.8;3;6;320;3;NW
Stasiun Meteorologi H. AS. Hanandjoeddin;10/01/2021;23.8;30.2;26.7;90;19.8;3;6;320;3;NW
Stasiun Meteorologi H. AS. Hanandjoeddin;11/01/2021;24.2;30.2;27.1;88;6.2;3.8;8;290;3;NW
Stasiun Meteorologi H. AS. Hanandjoeddin;12/01/2021;24;30.4;25.7;96;49.9;4.2;9;320;3;NW
Stasiun Meteorologi H. AS. Hanandjoeddin;13/01/2021;22.8;26.4;24.6;96;148.5;0;13;330;4;NW
Stasiun Meteorologi H. AS. Hanandjoeddin;13/01/2021;22.8;26.4;24.6;96;148.5;0;13;330;4;NW
Stasiun Meteorologi H. AS. Hanandjoeddin;14/01/2021;23.2;26.6;24.1;100;43.7;0;3;320;2;N 
Stasiun Meteorologi H. AS. Hanandjoeddin;14/01/2021;23.2;26.6;24.1;100;43.7;0;3;320;2;N 
Stasiun Meteorologi H. AS. Hanandjoeddin;15/01/2021;22.5;28.8;25.6;90;69.2;0;3;280;1;C 
Stasiun Meteorologi H. AS. Hanandjoeddin;15/01/2021;22.5;28.8;25.6;90;69.2;0;3;280;1;C 
Stasiun Meteorologi H. AS. Hanandjoeddin;16/01/2021;22.6;-;26;93;8888;0;8;320;3;N 
Stasiun Meteorologi H. AS. Hanandjoeddin;16/01/2021;22.6;-;26;93;8888;0;8;320;3;N 
Stasiun Meteorologi H. AS. Hanandjoeddin;17/01/2021;23.6;28.6;25.4;93;14.1;0.9;9;350;3;N 
Stasiun Meteorologi H. AS. Hanandjoeddin;18/01/2021;22.2;27.6;24.9;90;52.7;0;11;340;5;N 
Stasiun Meteorologi H. AS. Hanandjoeddin;19/01/2021;23.2;29;26.1;84;12;0;10;350;4;N 
Stasiun Meteorologi H. AS. Hanandjoeddin;20/01/2021;23.4;29.4;26.1;87;0.1;3;9;360;4;N 
Stasiun Meteorologi H. AS. Hanandjoeddin;21/01/2021;23.8;30;26.5;86;-;6.5;9;330;3;N 
Stasiun Meteorologi H. AS. Hanandjoeddin;22/01/2021;23.7;30.7;26.5;87;0;9.5;5;350;2;C 
Stasiun Meteorologi H. AS. Hanandjoeddin;23/01/2021;23.6;30.6;26.4;88;-;4.2;8;10;3;N 
Stasiun Meteorologi H. AS. Hanandjoeddin;24/01/2021;24.2;30.4;26.9;86;0;9.2;9;10;3;N 
Stasiun Meteorologi H. AS. Hanandjoeddin;25/01/2021;24.2;-;26.7;89;-;8.2;5;350;2;N 
Stasiun Meteorologi H. AS. Hanandjoeddin;26/01/2021;23.4;30.7;26.6;87;-;2.8;5;330;2;NW
Stasiun Meteorologi H. AS. Hanandjoeddin;27/01/2021;22.2;28.4;24.3;93;28.7;4.4;5;310;3;N 
Stasiun Meteorologi H. AS. Hanandjoeddin;28/01/2021;22.5;29.8;24.3;98;11.2;0;13;290;4;N 
Stasiun Meteorologi H. AS. Hanandjoeddin;29/01/2021;23;28.2;25;90;26.7;2.9;9;330;4;N 
Stasiun Meteorologi H. AS. Hanandjoeddin;30/01/2021;23;29;26;91;11.2;0;10;360;4;N 
Stasiun Meteorologi H. AS. Hanandjoeddin;31/01/2021;24.2;29.4;26.1;91;8888;0.2;9;350;4;N 
