STASIUN;TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS;FF_X;DDD_X;FF_AVG;DDD_CAR
Stasiun Geofisika Kepahiang;01/01/2021;20.4;30.2;24.6;79;2.7;0.2;4;210;2;SW
Stasiun Geofisika Kepahiang;02/01/2021;20.2;29.8;24.5;85;-;6.5;3;231;2;SW
Stasiun Geofisika Kepahiang;03/01/2021;21.4;27;23;90;12.9;5;4;318;2;NW
Stasiun Geofisika Kepahiang;04/01/2021;19.8;28.6;24;86;13;1.1;4;226;2;SW
Stasiun Geofisika Kepahiang;05/01/2021;-;29.4;24.9;86;-;2.6;5;200;2;S 
Stasiun Geofisika Kepahiang;06/01/2021;20.8;29.4;23.7;88;9;3.6;6;298;2;NW
Stasiun Geofisika Kepahiang;07/01/2021;21.2;28.6;24.3;85;5.8;1.1;4;308;2;NW
Stasiun Geofisika Kepahiang;08/01/2021;21.4;28;23.9;90;8;0.5;3;180;1;S 
Stasiun Geofisika Kepahiang;09/01/2021;20.8;28;23;89;37.3;2.2;3;323;1;NW
Stasiun Geofisika Kepahiang;10/01/2021;20.8;29.2;24.8;86;0.2;0;4;219;1;SW
Stasiun Geofisika Kepahiang;11/01/2021;20.8;30.4;24.9;87;0;1;3;200;1;S 
Stasiun Geofisika Kepahiang;12/01/2021;22;26.4;23.5;92;5.6;3.1;3;171;1;S 
Stasiun Geofisika Kepahiang;13/01/2021;20.8;25.6;23;92;0.6;0.3;3;197;2;S 
Stasiun Geofisika Kepahiang;14/01/2021;21;27;23.1;92;0.8;0;4;190;2;S 
Stasiun Geofisika Kepahiang;15/01/2021;21;30;24.6;82;-;0.2;3;240;2;SW
Stasiun Geofisika Kepahiang;16/01/2021;20.3;30;24;83;12.8;4.7;5;320;2;W 
Stasiun Geofisika Kepahiang;17/01/2021;19.9;28;22.8;88;-;4.7;4;280;1;E 
Stasiun Geofisika Kepahiang;18/01/2021;19.9;28.6;23.1;90;1;0;5;191;3;S 
Stasiun Geofisika Kepahiang;19/01/2021;19.8;28.8;23.8;86;11.4;1.5;4;176;2;S 
Stasiun Geofisika Kepahiang;20/01/2021;20;28.8;23.3;88;0;5.8;3;190;1;S 
Stasiun Geofisika Kepahiang;21/01/2021;20.6;30.6;25.1;83;25.4;3.6;4;260;2;SW
Stasiun Geofisika Kepahiang;22/01/2021;20.1;30.4;24.3;78;-;6.4;5;260;2;W 
Stasiun Geofisika Kepahiang;23/01/2021;18.4;31.2;24;78;-;6.3;5;220;2;SW
Stasiun Geofisika Kepahiang;24/01/2021;19.2;25.4;23.7;90;0.2;6.7;3;171;1;S 
Stasiun Geofisika Kepahiang;25/01/2021;20;28.4;22.9;88;0.1;0.1;4;210;2;S 
Stasiun Geofisika Kepahiang;26/01/2021;20.6;28.2;22.5;92;39.4;3.2;5;321;2;SW
Stasiun Geofisika Kepahiang;27/01/2021;20;28.4;22.8;86;46;-;4;310;2;NW
Stasiun Geofisika Kepahiang;28/01/2021;20;26.8;22.7;88;26;3;3;330;2;SW
Stasiun Geofisika Kepahiang;29/01/2021;20.2;29;23.6;90;28.1;0;3;170;2;S 
Stasiun Geofisika Kepahiang;30/01/2021;20.6;29;22.6;93;34.4;0;3;188;1;S 
Stasiun Geofisika Kepahiang;31/01/2021;20.6;29;23.3;90;34.9;2.1;5;194;2;S 
Stasiun Geofisika Kepahiang;01/02/2021;20.4;28.4;23.6;88;0.4;3.5;3;220;2;SW
Stasiun Geofisika Kepahiang;02/02/2021;21;29.2;24.1;88;7.7;3;4;220;2;SW
Stasiun Geofisika Kepahiang;03/02/2021;21.4;26.8;22.3;97;21.7;3.3;3;200;1;NW
Stasiun Geofisika Kepahiang;04/02/2021;20;29.2;24.2;84;49;1.7;4;190;2;SW
Stasiun Geofisika Kepahiang;05/02/2021;21;31.2;25;80;7.7;2.7;4;220;2;SW
Stasiun Geofisika Kepahiang;06/02/2021;21.8;30.2;25;81;-;6.8;4;170;2;SW
Stasiun Geofisika Kepahiang;07/02/2021;20.2;31;24.1;82;-;5.6;6;217;2;SW
Stasiun Geofisika Kepahiang;08/02/2021;20.8;31.4;25.5;75;-;4.4;6;240;2;W 
Stasiun Geofisika Kepahiang;09/02/2021;21;29.6;24.2;84;-;6.5;4;280;2;W 
Stasiun Geofisika Kepahiang;10/02/2021;20.4;29.2;22.8;92;3.4;0;4;210;2;NW
Stasiun Geofisika Kepahiang;11/02/2021;20;29.8;23.9;83;43.5;2.8;5;310;3;SW
Stasiun Geofisika Kepahiang;12/02/2021;19.8;29.8;24.8;83;-;6.9;3;214;2;S 
Stasiun Geofisika Kepahiang;13/02/2021;21.6;29.8;24.7;87;0.3;2.1;3;190;1;S 
Stasiun Geofisika Kepahiang;14/02/2021;22.2;29.8;24.3;90;0;0.7;2;181;1;S 
Stasiun Geofisika Kepahiang;15/02/2021;21.2;28.6;24.1;88;5;0;5;300;2;S 
Stasiun Geofisika Kepahiang;16/02/2021;21.6;29.4;24.5;89;0.4;4.5;4;120;2;SE
Stasiun Geofisika Kepahiang;17/02/2021;20.8;29;23.9;89;10;2;4;180;2;S 
Stasiun Geofisika Kepahiang;18/02/2021;21.2;27.4;23.8;88;7.5;3;4;340;1;S 
Stasiun Geofisika Kepahiang;19/02/2021;20.4;29;23.7;86;6;1.6;4;200;2;S 
Stasiun Geofisika Kepahiang;20/02/2021;21.2;28.8;23.6;87;2.3;3;5;194;2;S 
