STASIUN;TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS;FF_X;DDD_X;FF_AVG;DDD_CAR
Stasiun Meteorologi Depati Parbo;01/01/2021;18.4;28.2;22.5;85;-;0.8;4;120;1;C 
Stasiun Meteorologi Depati Parbo;01/01/2021;18.4;28.2;22.5;85;-;0.8;4;120;1;C 
Stasiun Meteorologi Depati Parbo;02/01/2021;-;28.6;22.6;86;34.4;2.4;6;330;2;C 
Stasiun Meteorologi Depati Parbo;03/01/2021;18.7;26.4;22;78;5.5;7.2;8;330;2;C 
Stasiun Meteorologi Depati Parbo;03/01/2021;18.7;26.4;22;78;5.5;7.2;8;330;2;C 
Stasiun Meteorologi Depati Parbo;04/01/2021;18.6;29.6;22.3;80;0.4;3.1;5;320;2;C 
Stasiun Meteorologi Depati Parbo;04/01/2021;18.6;29.6;22.3;80;0.4;3.1;5;320;2;C 
Stasiun Meteorologi Depati Parbo;05/01/2021;17.9;30;22.7;80;0;3.4;6;140;2;C 
Stasiun Meteorologi Depati Parbo;06/01/2021;17.9;27.6;22.5;84;-;-;7;270;2;C 
Stasiun Meteorologi Depati Parbo;06/01/2021;17.9;27.6;22.5;84;-;-;7;270;2;C 
Stasiun Meteorologi Depati Parbo;07/01/2021;17.8;29;23.8;75;2.4;3.8;6;280;2;NW
Stasiun Meteorologi Depati Parbo;07/01/2021;17.8;29;23.8;75;2.4;3.8;6;280;2;NW
Stasiun Meteorologi Depati Parbo;08/01/2021;18.2;28.6;22.7;78;0;8.2;3;150;1;C 
Stasiun Meteorologi Depati Parbo;08/01/2021;18.2;28.6;22.7;78;0;8.2;3;150;1;C 
Stasiun Meteorologi Depati Parbo;09/01/2021;18.4;27;22.7;82;9.8;7;5;200;1;C 
Stasiun Meteorologi Depati Parbo;09/01/2021;18.4;27;22.7;82;9.8;7;5;200;1;C 
Stasiun Meteorologi Depati Parbo;10/01/2021;18.4;26.7;22.6;82;-;-;4;330;1;C 
Stasiun Meteorologi Depati Parbo;11/01/2021;-;-;22.9;84;8888;0;2;130;1;C 
Stasiun Meteorologi Depati Parbo;11/01/2021;-;-;22.9;84;8888;0;2;130;1;C 
Stasiun Meteorologi Depati Parbo;12/01/2021;20;25.8;21.2;90;23.2;2;3;50;0;C 
Stasiun Meteorologi Depati Parbo;13/01/2021;19.9;24.7;21.2;92;45;0;4;320;1;C 
Stasiun Meteorologi Depati Parbo;13/01/2021;19.9;24.7;21.2;92;45;0;4;320;1;C 
Stasiun Meteorologi Depati Parbo;14/01/2021;19.4;27;22.4;82;-;0.2;6;130;2;C 
Stasiun Meteorologi Depati Parbo;15/01/2021;-;29.5;23.4;70;0;2.4;11;220;2;C 
Stasiun Meteorologi Depati Parbo;15/01/2021;-;29.5;23.4;70;0;2.4;11;220;2;C 
Stasiun Meteorologi Depati Parbo;16/01/2021;17.3;29.2;22.5;73;-;9.7;4;310;1;C 
Stasiun Meteorologi Depati Parbo;17/01/2021;17.4;29.3;22.2;77;0;5.4;5;330;2;C 
Stasiun Meteorologi Depati Parbo;18/01/2021;17.3;26.9;21.9;85;8.1;6.5;4;160;1;C 
Stasiun Meteorologi Depati Parbo;19/01/2021;15;27.4;21.8;82;13;2.4;6;140;2;C 
Stasiun Meteorologi Depati Parbo;20/01/2021;17.8;28.4;22.1;79;-;8.6;6;130;1;C 
Stasiun Meteorologi Depati Parbo;21/01/2021;17.9;28.6;22.6;73;0;6.3;9;240;2;C 
Stasiun Meteorologi Depati Parbo;21/01/2021;17.9;28.6;22.6;73;0;6.3;9;240;2;C 
Stasiun Meteorologi Depati Parbo;22/01/2021;16.7;28.2;21.6;77;-;8.8;8;300;2;C 
Stasiun Meteorologi Depati Parbo;23/01/2021;16.4;29.9;23.3;73;0;6.9;7;230;2;C 
Stasiun Meteorologi Depati Parbo;24/01/2021;17.9;28.9;23.3;73;-;7.8;4;200;1;C 
Stasiun Meteorologi Depati Parbo;25/01/2021;19;28.4;22.9;82;1.2;7.8;4;310;1;C 
Stasiun Meteorologi Depati Parbo;25/01/2021;19;28.4;22.9;82;1.2;7.8;4;310;1;C 
Stasiun Meteorologi Depati Parbo;26/01/2021;19.5;27.4;22.2;83;4.8;3;6;350;1;C 
Stasiun Meteorologi Depati Parbo;26/01/2021;19.5;27.4;22.2;83;4.8;3;6;350;1;C 
Stasiun Meteorologi Depati Parbo;27/01/2021;19;28.5;22.4;82;9.6;1.9;5;310;1;C 
Stasiun Meteorologi Depati Parbo;27/01/2021;19;28.5;22.4;82;9.6;1.9;5;310;1;C 
Stasiun Meteorologi Depati Parbo;28/01/2021;17.8;27.6;21.6;84;-;4.6;3;10;0;C 
Stasiun Meteorologi Depati Parbo;28/01/2021;17.8;27.6;21.6;84;-;4.6;3;10;0;C 
Stasiun Meteorologi Depati Parbo;29/01/2021;18.6;28.4;22.5;80;6;0.2;3;300;1;C 
Stasiun Meteorologi Depati Parbo;29/01/2021;18.6;28.4;22.5;80;6;0.2;3;300;1;C 
Stasiun Meteorologi Depati Parbo;30/01/2021;18.3;26;21.8;86;8888;5;5;330;2;C 
Stasiun Meteorologi Depati Parbo;31/01/2021;18.4;27;21.9;86;0;2.2;3;350;0;C 
Stasiun Meteorologi Depati Parbo;01/02/2021;18.5;27.2;21.9;83;2.9;1.8;5;9;1;C 
Stasiun Meteorologi Depati Parbo;02/02/2021;18.6;29.4;23.1;87;0.6;4;5;340;1;C 
Stasiun Meteorologi Depati Parbo;02/02/2021;18.6;29.4;23.1;87;0.6;4;5;340;1;C 
Stasiun Meteorologi Depati Parbo;03/02/2021;19.2;28.9;22.4;85;4.8;4.4;7;340;1;C 
Stasiun Meteorologi Depati Parbo;03/02/2021;19.2;28.9;22.4;85;4.8;4.4;7;340;1;C 
Stasiun Meteorologi Depati Parbo;04/02/2021;18.8;28.8;23.3;78;6.2;4.6;5;30;1;C 
Stasiun Meteorologi Depati Parbo;05/02/2021;18.4;30.2;23.1;78;8888;6.5;4;200;1;C 
Stasiun Meteorologi Depati Parbo;05/02/2021;18.4;30.2;23.1;78;8888;6.5;4;200;1;C 
Stasiun Meteorologi Depati Parbo;06/02/2021;17.6;31.5;22.7;76;-;9.5;5;220;1;C 
Stasiun Meteorologi Depati Parbo;07/02/2021;17;30.4;22.9;74;0;8.4;5;220;2;C 
Stasiun Meteorologi Depati Parbo;08/02/2021;17.2;29;24;74;1.4;10.4;6;300;2;C 
Stasiun Meteorologi Depati Parbo;08/02/2021;17.2;29;24;74;1.4;10.4;6;300;2;C 
Stasiun Meteorologi Depati Parbo;09/02/2021;-;29.8;23.1;74;-;8.1;7;250;2;W 
Stasiun Meteorologi Depati Parbo;10/02/2021;18.2;29.8;23.1;75;0;5.8;7;200;2;NW
Stasiun Meteorologi Depati Parbo;11/02/2021;18.2;31.3;22.8;77;0;9.9;4;230;1;C 
Stasiun Meteorologi Depati Parbo;12/02/2021;17.2;31.3;23.1;80;0;6.5;4;320;1;E 
Stasiun Meteorologi Depati Parbo;12/02/2021;17.2;31.3;23.1;80;0;6.5;4;320;1;E 
Stasiun Meteorologi Depati Parbo;13/02/2021;19.9;30.4;23.7;79;8888;5.9;6;130;2;SE
Stasiun Meteorologi Depati Parbo;13/02/2021;19.9;30.4;23.7;79;8888;5.9;6;130;2;SE
Stasiun Meteorologi Depati Parbo;14/02/2021;20;29.8;23.4;80;-;7.6;4;190;1;C 
Stasiun Meteorologi Depati Parbo;15/02/2021;18.4;30.4;23.2;85;2.4;5.7;4;140;1;C 
Stasiun Meteorologi Depati Parbo;15/02/2021;18.4;30.4;23.2;85;2.4;5.7;4;140;1;C 
Stasiun Meteorologi Depati Parbo;16/02/2021;20;28.4;22.3;86;55;7;4;140;1;C 
Stasiun Meteorologi Depati Parbo;17/02/2021;-;29.6;23.3;79;28.6;5.7;6;40;2;C 
Stasiun Meteorologi Depati Parbo;17/02/2021;-;29.6;23.3;79;28.6;5.7;6;40;2;C 
Stasiun Meteorologi Depati Parbo;18/02/2021;-;28.6;22.3;88;3.9;9.9;7;130;2;C 
