STASIUN;TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS;FF_X;DDD_X;FF_AVG;DDD_CAR
Stasiun Meteorologi Radin Inten II;01/01/2021;-;32;26.8;82;0.2;2.6;4;230;1;C 
Stasiun Meteorologi Radin Inten II;02/01/2021;24.2;32.3;26.3;87;2.8;5.2;3;330;1;C 
Stasiun Meteorologi Radin Inten II;03/01/2021;23.6;32.2;25.8;88;3.6;4;7;130;1;C 
Stasiun Meteorologi Radin Inten II;04/01/2021;23;31;26.1;86;41.6;5.5;3;160;0;C 
Stasiun Meteorologi Radin Inten II;05/01/2021;23;31.4;27.2;87;-;3;5;190;1;NW
Stasiun Meteorologi Radin Inten II;06/01/2021;24.2;29.5;25.2;91;-;1;3;270;1;C 
Stasiun Meteorologi Radin Inten II;07/01/2021;22.2;31.4;25.9;86;15.9;1.5;4;310;2;C 
Stasiun Meteorologi Radin Inten II;08/01/2021;-;29.4;26.3;89;9.8;0;5;330;1;C 
Stasiun Meteorologi Radin Inten II;09/01/2021;24;29.6;26;88;0;0;4;340;1;C 
Stasiun Meteorologi Radin Inten II;10/01/2021;22.8;30.8;25.6;87;8.6;0;3;330;0;C 
Stasiun Meteorologi Radin Inten II;11/01/2021;23.2;31.6;26.2;86;3;3.4;4;320;1;C 
Stasiun Meteorologi Radin Inten II;12/01/2021;22.8;31.7;25.5;90;44;6.7;6;270;0;C 
Stasiun Meteorologi Radin Inten II;13/01/2021;-;28.6;25.7;86;6.3;0.2;7;300;3;NW
Stasiun Meteorologi Radin Inten II;14/01/2021;23.4;29.4;25.8;84;8888;0.5;5;300;2;C 
Stasiun Meteorologi Radin Inten II;15/01/2021;23.2;31.6;26.9;83;-;0;3;310;1;C 
Stasiun Meteorologi Radin Inten II;16/01/2021;23.2;33.2;27.7;78;8888;1.6;4;200;1;C 
Stasiun Meteorologi Radin Inten II;17/01/2021;23;33.4;27.3;86;1;7.2;6;340;2;NW
Stasiun Meteorologi Radin Inten II;18/01/2021;23.2;28.2;25.1;87;-;1.8;7;320;4;NW
Stasiun Meteorologi Radin Inten II;19/01/2021;22.9;30.4;25.7;80;8888;0;8;330;2;NW
Stasiun Meteorologi Radin Inten II;20/01/2021;22.2;30.4;26.6;81;8888;4;6;310;2;NW
Stasiun Meteorologi Radin Inten II;21/01/2021;-;31.4;26.3;86;1;5.2;7;330;1;C 
Stasiun Meteorologi Radin Inten II;22/01/2021;23.4;31.6;26;88;14.4;4.2;4;300;1;C 
Stasiun Meteorologi Radin Inten II;23/01/2021;23.6;31.2;27.4;86;-;0;4;320;2;C 
Stasiun Meteorologi Radin Inten II;24/01/2021;23.9;30.2;25;93;19;0.5;3;320;1;C 
Stasiun Meteorologi Radin Inten II;25/01/2021;23.7;32.6;26.3;88;5;0;6;150;2;C 
Stasiun Meteorologi Radin Inten II;26/01/2021;23.2;32;26.1;87;105.5;5.9;3;180;1;C 
Stasiun Meteorologi Radin Inten II;27/01/2021;23.2;32.6;26.6;84;25;5.6;5;330;1;C 
Stasiun Meteorologi Radin Inten II;28/01/2021;23.1;28.2;25;90;10.7;0.5;4;230;2;C 
Stasiun Meteorologi Radin Inten II;29/01/2021;23;30.8;25.8;85;6;0;7;320;2;W 
Stasiun Meteorologi Radin Inten II;30/01/2021;23;30.4;26.3;83;3.6;3.5;6;320;2;N 
Stasiun Meteorologi Radin Inten II;31/01/2021;23.1;30;26.1;84;3.5;3.3;6;30;2;C 
Stasiun Meteorologi Radin Inten II;01/02/2021;22.8;32.2;26.1;87;0;1.4;5;20;2;N 
Stasiun Meteorologi Radin Inten II;02/02/2021;23.2;31.8;26.2;85;2;5.6;6;350;3;NW
Stasiun Meteorologi Radin Inten II;03/02/2021;23.4;30.4;25.1;89;1.5;3.5;6;310;2;N 
Stasiun Meteorologi Radin Inten II;04/02/2021;23;30.5;25.3;89;32.2;1.5;4;10;1;C 
Stasiun Meteorologi Radin Inten II;05/02/2021;22.8;30.8;26.3;86;13.5;0.2;9;330;2;NW
Stasiun Meteorologi Radin Inten II;06/02/2021;22.3;31.4;26.7;82;1;1.5;6;340;3;N 
Stasiun Meteorologi Radin Inten II;07/02/2021;22.8;30.8;27.1;84;-;6.9;6;340;2;NW
Stasiun Meteorologi Radin Inten II;08/02/2021;23.8;32.4;26.1;83;3.5;4;6;230;2;C 
Stasiun Meteorologi Radin Inten II;09/02/2021;23.2;32.2;26.5;86;1;4.5;4;340;1;C 
Stasiun Meteorologi Radin Inten II;10/02/2021;23.8;31.6;26.2;89;5;4.2;4;340;2;C 
Stasiun Meteorologi Radin Inten II;11/02/2021;22.4;32.4;26.5;85;7.4;1;6;190;2;N 
Stasiun Meteorologi Radin Inten II;12/02/2021;22.4;30.8;26.5;88;3;8.8;5;330;1;C 
Stasiun Meteorologi Radin Inten II;13/02/2021;23.6;32.4;26.9;84;7;1;3;350;1;C 
