STASIUN;TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS;FF_X;DDD_X;FF_AVG;DDD_CAR
Stasiun Klimatologi Riau;01/01/2021;22.4;30.6;25.2;90;0;1.4;2;280;0;C 
Stasiun Klimatologi Riau;02/01/2021;22.6;30.2;25.8;87;37.5;1.4;3;80;1;C 
Stasiun Klimatologi Riau;03/01/2021;22.4;30.8;26.4;85;0;1.7;3;300;1;C 
Stasiun Klimatologi Riau;04/01/2021;23;30.3;26.4;85;23;3.9;2;290;1;C 
Stasiun Klimatologi Riau;05/01/2021;23.4;33.4;27.8;81;0;1.2;5;340;0;C 
Stasiun Klimatologi Riau;06/01/2021;23.2;31.2;26.1;86;0;6.2;2;280;0;C 
Stasiun Klimatologi Riau;07/01/2021;22.6;30;26.2;87;5.5;2.8;3;270;0;C 
Stasiun Klimatologi Riau;08/01/2021;23.2;31.1;26.2;86;0;1.1;2;60;1;C 
Stasiun Klimatologi Riau;09/01/2021;22.1;29.4;25.3;89;107;2.5;2;60;0;C 
Stasiun Klimatologi Riau;10/01/2021;23;26.4;24.4;94;3;0;2;110;1;C 
Stasiun Klimatologi Riau;11/01/2021;22.8;29.8;25.7;90;9;0;3;280;0;C 
Stasiun Klimatologi Riau;12/01/2021;22.2;27.5;23.6;95;3;0.4;4;70;1;C 
Stasiun Klimatologi Riau;13/01/2021;22.6;28.9;25.4;89;19.4;0;3;350;0;C 
Stasiun Klimatologi Riau;14/01/2021;22.5;28.2;25.3;88;8888;0.6;0;0;0;C 
Stasiun Klimatologi Riau;15/01/2021;21.8;32;26.2;80;0;0;2;30;0;C 
Stasiun Klimatologi Riau;16/01/2021;22.4;31.8;26.9;83;0;5.7;3;180;1;C 
Stasiun Klimatologi Riau;17/01/2021;23;31.3;27.7;80;0;5.9;2;40;0;C 
Stasiun Klimatologi Riau;18/01/2021;22.6;31.4;26.6;82;12;2.1;2;40;0;C 
Stasiun Klimatologi Riau;19/01/2021;23;30.2;25.7;85;0;2.1;2;20;0;C 
Stasiun Klimatologi Riau;20/01/2021;22.2;31.4;26.3;80;0;1;3;60;1;C 
Stasiun Klimatologi Riau;21/01/2021;22.5;32.3;27;80;0;5.8;2;250;0;C 
Stasiun Klimatologi Riau;22/01/2021;22.1;31.8;26.4;83;36.5;6.9;2;240;0;C 
Stasiun Klimatologi Riau;23/01/2021;21.4;29.4;25.4;86;0;5.7;2;40;0;C 
Stasiun Klimatologi Riau;24/01/2021;22.2;32.5;26.7;82;4.8;3.1;2;200;0;C 
Stasiun Klimatologi Riau;25/01/2021;22;32.8;26.9;77;0.1;7.5;2;200;0;C 
Stasiun Klimatologi Riau;26/01/2021;23;31.7;26.7;82;2.5;7.4;0;0;0;C 
Stasiun Klimatologi Riau;27/01/2021;23;32.2;26.8;83;0;5.5;3;10;1;C 
Stasiun Klimatologi Riau;28/01/2021;22.4;28.9;25.7;88;0;3.1;3;80;1;C 
Stasiun Klimatologi Riau;29/01/2021;22.4;29.6;25.2;88;27;0;2;270;0;C 
Stasiun Klimatologi Riau;30/01/2021;21.7;31.4;25.9;83;0;3.7;2;320;0;C 
Stasiun Klimatologi Riau;31/01/2021;23.2;32.2;26.6;82;0;4.1;0;0;0;C 
Stasiun Klimatologi Riau;01/02/2021;22.6;31.6;26.6;82;0;4.1;3;290;1;C 
Stasiun Klimatologi Riau;02/02/2021;22.4;31.1;25.9;84;60;2.7;3;90;1;C 
Stasiun Klimatologi Riau;03/02/2021;22;31.2;26.9;84;8888;4.8;2;200;0;C 
Stasiun Klimatologi Riau;04/02/2021;22.4;30.4;25.9;86;0;3.5;3;70;1;C 
Stasiun Klimatologi Riau;05/02/2021;23;30.8;26.8;81;-;1.4;2;135;0;C 
Stasiun Klimatologi Riau;06/02/2021;21.4;32.6;26.6;79;-;3.4;3;30;1;C 
Stasiun Klimatologi Riau;07/02/2021;22.4;32.6;27.6;82;0;6.4;3;290;1;C 
Stasiun Klimatologi Riau;08/02/2021;22.2;32.7;26.8;80;6.5;6.9;2;50;0;C 
Stasiun Klimatologi Riau;09/02/2021;22.8;32.4;27;82;11;5.3;3;280;0;C 
Stasiun Klimatologi Riau;10/02/2021;23.2;33.5;26.9;86;0;8.3;2;110;1;C 
Stasiun Klimatologi Riau;11/02/2021;24.2;31.8;27.4;83;3.5;7.5;2;140;0;C 
Stasiun Klimatologi Riau;12/02/2021;23.8;33.2;27.8;83;35;5.7;3;160;0;C 
Stasiun Klimatologi Riau;13/02/2021;22.6;32.1;26.5;86;43.5;5.8;4;250;0;C 
Stasiun Klimatologi Riau;14/02/2021;22.2;32.4;27.2;81;9;4.1;2;60;0;C 
Stasiun Klimatologi Riau;15/02/2021;22.4;30.8;26.8;83;2.8;4.3;2;300;0;C 
Stasiun Klimatologi Riau;16/02/2021;22.8;33;27;81;-;3.8;2;50;0;C 
Stasiun Klimatologi Riau;17/02/2021;23;33.1;27.2;80;0;6.8;0;0;0;C 
Stasiun Klimatologi Riau;18/02/2021;22.6;29.4;25.4;86;0;7;2;200;0;C 
Stasiun Klimatologi Riau;19/02/2021;23.1;29.4;25.4;85;8888;2.2;2;120;0;C 
Stasiun Klimatologi Riau;20/02/2021;21.6;30;25.8;82;-;1;3;70;1;C 
Stasiun Klimatologi Riau;21/02/2021;22.4;31.3;27;79;-;4;2;250;0;C 
Stasiun Klimatologi Riau;22/02/2021;22.5;31.8;26.6;80;-;2.6;2;130;0;C 
Stasiun Klimatologi Riau;23/02/2021;22;32.6;26.8;80;0;3.5;2;220;0;C 
Stasiun Klimatologi Riau;25/02/2021;21.9;32.9;27.1;82;9.5;2.2;5;270;2;C 
Stasiun Klimatologi Riau;26/02/2021;21.9;31.1;26.3;86;0;6;4;280;1;C 
Stasiun Klimatologi Riau;27/02/2021;20.5;33.5;26.4;80;0;1.1;2;280;0;C 
Stasiun Klimatologi Riau;28/02/2021;21;33.6;26.6;81;0;6.4;3;90;1;C 
Stasiun Klimatologi Riau;01/03/2021;22.6;33.1;27.4;81;0;7.2;2;80;1;C 
Stasiun Klimatologi Riau;02/03/2021;23.7;33.6;27.1;82;0;5.3;2;120;0;C 
Stasiun Klimatologi Riau;03/03/2021;23;32.2;26.3;85;0;6.2;2;120;0;C 
Stasiun Klimatologi Riau;04/03/2021;23.2;32.8;27.1;82;0;5.6;2;140;0;C 
Stasiun Klimatologi Riau;05/03/2021;22.2;31.7;26.3;88;0;4.5;2;130;0;C 
Stasiun Klimatologi Riau;06/03/2021;22.3;32;26.9;82;7;1.2;2;180;0;C 
Stasiun Klimatologi Riau;07/03/2021;22.8;27.4;25.1;90;27.5;3.4;2;270;0;C 
Stasiun Klimatologi Riau;08/03/2021;22.8;33.2;27;79;15;0;3;220;1;C 
Stasiun Klimatologi Riau;09/03/2021;22.4;31.1;26.5;82;0;6.9;2;100;0;C 
Stasiun Klimatologi Riau;10/03/2021;22;31.6;25.6;83;0;2.5;3;210;1;C 
Stasiun Klimatologi Riau;11/03/2021;21.4;32.6;26.5;80;4.5;4.9;3;30;0;C 
Stasiun Klimatologi Riau;12/03/2021;22.8;30.5;25.3;87;0;4.5;0;0;0;C 
Stasiun Klimatologi Riau;13/03/2021;22.4;33;27.4;78;1.8;1.9;3;250;1;C 
Stasiun Klimatologi Riau;14/03/2021;23;32.2;26.9;84;0;6.1;3;180;0;C 
Stasiun Klimatologi Riau;15/03/2021;22.2;33;26.9;82;28;4.7;2;50;0;C 
Stasiun Klimatologi Riau;16/03/2021;22.8;32.1;26.9;82;0;5.5;2;90;1;C 
Stasiun Klimatologi Riau;17/03/2021;22.6;32.4;26.6;84;59;5.7;2;330;1;C 
Stasiun Klimatologi Riau;18/03/2021;22.8;32.9;25.9;86;0;6;2;345;0;C 
Stasiun Klimatologi Riau;19/03/2021;22.8;33.2;28.3;80;6.8;5.5;0;0;0;C 
Stasiun Klimatologi Riau;20/03/2021;24;32.4;27.7;82;0;6.8;3;180;1;C 
Stasiun Klimatologi Riau;21/03/2021;23;33.8;27.9;78;8888;5.7;2;270;0;C 
Stasiun Klimatologi Riau;22/03/2021;23.4;32;26.2;87;0;2.7;2;120;0;C 
Stasiun Klimatologi Riau;23/03/2021;22.6;30.3;25.8;89;2.8;2.9;3;20;0;C 
Stasiun Klimatologi Riau;24/03/2021;22.4;30;26;87;2;1.1;3;300;2;C 
Stasiun Klimatologi Riau;25/03/2021;23;30.7;26.1;86;3;0.5;2;345;0;C 
Stasiun Klimatologi Riau;26/03/2021;23.6;31;26.1;87;7.8;2.4;3;180;0;C 
Stasiun Klimatologi Riau;27/03/2021;22.6;27.7;24.4;94;23.8;0;2;180;0;C 
Stasiun Klimatologi Riau;28/03/2021;22.3;32.7;27;84;33.5;0;3;160;1;C 
Stasiun Klimatologi Riau;29/03/2021;22.6;30.6;26.6;85;23;5.1;3;200;0;C 
Stasiun Klimatologi Riau;30/03/2021;22.4;35.2;28.1;77;8;2.3;0;0;0;C 
Stasiun Klimatologi Riau;31/03/2021;-;33.1;26.8;78;0;5;2;40;1;C 
Stasiun Klimatologi Riau;01/04/2021;23.2;32.2;26.7;83;0;4.1;4;300;1;C 
Stasiun Klimatologi Riau;02/04/2021;22.3;32;27.3;80;0;5.5;4;280;1;C 
Stasiun Klimatologi Riau;03/04/2021;23;32;27.1;83;1.5;6.5;4;260;1;C 
Stasiun Klimatologi Riau;04/04/2021;23.2;32.4;27.2;81;22.8;2.1;0;0;0;C 
Stasiun Klimatologi Riau;05/04/2021;22.7;33.4;27.2;81;0;4.6;2;90;0;C 
Stasiun Klimatologi Riau;06/04/2021;23;33.7;27.5;84;4;7.2;3;50;0;C 
Stasiun Klimatologi Riau;07/04/2021;22.1;33.4;26.7;82;4;7.3;2;350;0;C 
Stasiun Klimatologi Riau;08/04/2021;22.7;32.3;27.3;82;0;5.4;3;260;0;C 
Stasiun Klimatologi Riau;09/04/2021;-;33.4;27.3;77;0;3.7;2;40;0;C 
Stasiun Klimatologi Riau;10/04/2021;22.2;33.8;27.1;80;0;2.1;2;300;0;C 
Stasiun Klimatologi Riau;11/04/2021;-;31.8;27.4;82;0;1.7;3;120;0;C 
Stasiun Klimatologi Riau;12/04/2021;23.2;32.4;27.3;83;0;1.5;2;140;0;C 
Stasiun Klimatologi Riau;13/04/2021;22.4;33.4;27.3;80;1;2.3;3;240;1;C 
Stasiun Klimatologi Riau;14/04/2021;22.1;31;25.7;83;4.4;5.5;0;0;0;C 
Stasiun Klimatologi Riau;15/04/2021;23;33.3;27.3;81;0;2.1;2;320;0;C 
Stasiun Klimatologi Riau;16/04/2021;23;33.5;26.3;86;0;6.1;2;315;0;C 
Stasiun Klimatologi Riau;17/04/2021;21.6;28;24.9;92;71.4;5.8;2;300;0;C 
Stasiun Klimatologi Riau;18/04/2021;22.8;33.4;27.6;81;4.7;0;4;240;1;C 
Stasiun Klimatologi Riau;19/04/2021;23.2;31.9;27.2;85;38.2;8.5;2;130;0;C 
