STASIUN;TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS;FF_X;DDD_X;FF_AVG;DDD_CAR
Stasiun Meteorologi Sultan Mahmud Badaruddin II;01/01/2021;22.4;31.2;26.7;84;3.3;0;6;300;3;NW
Stasiun Meteorologi Sultan Mahmud Badaruddin II;01/01/2021;22.4;31.2;26.7;84;3.3;0;6;300;3;NW
Stasiun Meteorologi Sultan Mahmud Badaruddin II;02/01/2021;23.2;31.2;26;86;0.2;4.4;8;300;3;NW
Stasiun Meteorologi Sultan Mahmud Badaruddin II;03/01/2021;-;32.4;27.2;82;0.6;6.5;6;300;3;NW
Stasiun Meteorologi Sultan Mahmud Badaruddin II;03/01/2021;-;32.4;27.2;82;0.6;6.5;6;300;3;NW
Stasiun Meteorologi Sultan Mahmud Badaruddin II;04/01/2021;23.3;30.6;26.3;84;7.5;8;4;290;3;NW
Stasiun Meteorologi Sultan Mahmud Badaruddin II;04/01/2021;23.3;30.6;26.3;84;7.5;8;4;290;3;NW
Stasiun Meteorologi Sultan Mahmud Badaruddin II;05/01/2021;23.3;32.2;27.6;83;0;2.3;6;290;3;NW
Stasiun Meteorologi Sultan Mahmud Badaruddin II;06/01/2021;25.2;32.8;27.6;84;0.5;4.4;6;290;2;W 
Stasiun Meteorologi Sultan Mahmud Badaruddin II;06/01/2021;25.2;32.8;27.6;84;0.5;4.4;6;290;2;W 
Stasiun Meteorologi Sultan Mahmud Badaruddin II;07/01/2021;23.2;32.2;27;81;3.9;6.4;8;300;3;NW
Stasiun Meteorologi Sultan Mahmud Badaruddin II;07/01/2021;23.2;32.2;27;81;3.9;6.4;8;300;3;NW
Stasiun Meteorologi Sultan Mahmud Badaruddin II;08/01/2021;23.2;31.6;27;85;-;4.7;8;30;3;NW
Stasiun Meteorologi Sultan Mahmud Badaruddin II;08/01/2021;23.2;31.6;27;85;-;4.7;8;30;3;NW
Stasiun Meteorologi Sultan Mahmud Badaruddin II;09/01/2021;24.8;30.4;26.2;88;8888;3.1;6;350;3;NW
Stasiun Meteorologi Sultan Mahmud Badaruddin II;09/01/2021;24.8;30.4;26.2;88;8888;3.1;6;350;3;NW
Stasiun Meteorologi Sultan Mahmud Badaruddin II;10/01/2021;23.8;30.2;26.1;86;3;1.4;7;300;4;NW
Stasiun Meteorologi Sultan Mahmud Badaruddin II;10/01/2021;23.8;30.2;26.1;86;3;1.4;7;300;4;NW
Stasiun Meteorologi Sultan Mahmud Badaruddin II;11/01/2021;23.8;31.5;26.6;84;8888;1;5;300;3;NW
Stasiun Meteorologi Sultan Mahmud Badaruddin II;11/01/2021;23.8;31.5;26.6;84;8888;1;5;300;3;NW
Stasiun Meteorologi Sultan Mahmud Badaruddin II;12/01/2021;24.2;30.1;25;94;0.5;6.6;6;280;3;NW
Stasiun Meteorologi Sultan Mahmud Badaruddin II;13/01/2021;23.5;27;24.8;92;8.2;0;5;310;3;NW
Stasiun Meteorologi Sultan Mahmud Badaruddin II;13/01/2021;23.5;27;24.8;92;8.2;0;5;310;3;NW
Stasiun Meteorologi Sultan Mahmud Badaruddin II;14/01/2021;23.4;28.3;25.6;88;2.5;0;5;310;2;NW
Stasiun Meteorologi Sultan Mahmud Badaruddin II;14/01/2021;23.4;28.3;25.6;88;2.5;0;5;310;2;NW
Stasiun Meteorologi Sultan Mahmud Badaruddin II;15/01/2021;23.7;31.2;26.8;84;0;0;4;360;2;C 
Stasiun Meteorologi Sultan Mahmud Badaruddin II;15/01/2021;23.7;31.2;26.8;84;0;0;4;360;2;C 
Stasiun Meteorologi Sultan Mahmud Badaruddin II;16/01/2021;23.8;32;27.4;85;8888;1;4;270;2;N 
Stasiun Meteorologi Sultan Mahmud Badaruddin II;16/01/2021;23.8;32;27.4;85;8888;1;4;270;2;N 
Stasiun Meteorologi Sultan Mahmud Badaruddin II;17/01/2021;24.9;29.9;25.6;94;0;2.3;5;350;2;N 
Stasiun Meteorologi Sultan Mahmud Badaruddin II;18/01/2021;22.7;27.7;25;88;34;0.5;6;350;3;NW
Stasiun Meteorologi Sultan Mahmud Badaruddin II;19/01/2021;23.5;29.6;25.9;83;0.3;0;5;330;3;NW
Stasiun Meteorologi Sultan Mahmud Badaruddin II;20/01/2021;23.5;31.2;26.4;82;8888;3.2;5;310;2;NW
Stasiun Meteorologi Sultan Mahmud Badaruddin II;21/01/2021;23.5;31.9;26.8;84;1.1;5;5;330;2;C 
Stasiun Meteorologi Sultan Mahmud Badaruddin II;21/01/2021;23.5;31.9;26.8;84;1.1;5;5;330;2;C 
Stasiun Meteorologi Sultan Mahmud Badaruddin II;22/01/2021;23.8;32;27.3;82;-;8.5;5;300;2;NW
Stasiun Meteorologi Sultan Mahmud Badaruddin II;23/01/2021;24.5;31.8;27.5;83;-;5.4;5;340;3;N 
Stasiun Meteorologi Sultan Mahmud Badaruddin II;24/01/2021;24.6;31.8;27.3;84;8888;7.8;5;360;2;C 
Stasiun Meteorologi Sultan Mahmud Badaruddin II;24/01/2021;24.6;31.8;27.3;84;8888;7.8;5;360;2;C 
Stasiun Meteorologi Sultan Mahmud Badaruddin II;25/01/2021;24.6;29.8;25.7;92;2.5;3.8;6;250;1;C 
