STASIUN;TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS;FF_X;DDD_X;FF_AVG;DDD_CAR
Stasiun Geofisika Deli Serdang;01/01/2021;21.3;31.1;27;83;2.9;1.8;3;270;1;C 
Stasiun Geofisika Deli Serdang;01/01/2021;21.3;31.1;27;83;2.9;1.8;3;270;1;C 
Stasiun Geofisika Deli Serdang;02/01/2021;22.6;28.8;26.5;84;19.2;0;2;270;0;C 
Stasiun Geofisika Deli Serdang;03/01/2021;22.7;26.2;24.8;93;4.2;0.5;0;0;0;C 
Stasiun Geofisika Deli Serdang;03/01/2021;22.7;26.2;24.8;93;4.2;0.5;0;0;0;C 
Stasiun Geofisika Deli Serdang;04/01/2021;21.8;33.1;27.7;77;1.2;0;0;0;0;C 
Stasiun Geofisika Deli Serdang;04/01/2021;21.8;33.1;27.7;77;1.2;0;0;0;0;C 
Stasiun Geofisika Deli Serdang;05/01/2021;22;29.6;26.9;87;9;3.6;0;0;0;C 
Stasiun Geofisika Deli Serdang;06/01/2021;22.8;29.6;26.3;87;110;4;0;0;0;C 
Stasiun Geofisika Deli Serdang;06/01/2021;22.8;29.6;26.3;87;110;4;0;0;0;C 
Stasiun Geofisika Deli Serdang;07/01/2021;22.9;32.4;28.5;78;8888;0;0;0;0;C 
Stasiun Geofisika Deli Serdang;07/01/2021;22.9;32.4;28.5;78;8888;0;0;0;0;C 
Stasiun Geofisika Deli Serdang;08/01/2021;22.9;31.2;27.5;83;1.4;2.9;0;0;0;C 
Stasiun Geofisika Deli Serdang;08/01/2021;22.9;31.2;27.5;83;1.4;2.9;0;0;0;C 
Stasiun Geofisika Deli Serdang;09/01/2021;23.1;30.4;26.5;87;21.5;2.2;2;120;0;C 
Stasiun Geofisika Deli Serdang;09/01/2021;23.1;30.4;26.5;87;21.5;2.2;2;120;0;C 
Stasiun Geofisika Deli Serdang;10/01/2021;23;30.2;26.6;87;27.5;1.1;0;0;0;C 
Stasiun Geofisika Deli Serdang;10/01/2021;23;30.2;26.6;87;27.5;1.1;0;0;0;C 
Stasiun Geofisika Deli Serdang;11/01/2021;23;31.8;27.9;81;6.5;0;0;0;0;C 
Stasiun Geofisika Deli Serdang;11/01/2021;23;31.8;27.9;81;6.5;0;0;0;0;C 
Stasiun Geofisika Deli Serdang;12/01/2021;22.8;30.8;27.4;82;29.2;2.7;0;0;0;C 
Stasiun Geofisika Deli Serdang;13/01/2021;22.8;29;26.1;86;7;2.2;0;0;0;C 
Stasiun Geofisika Deli Serdang;13/01/2021;22.8;29;26.1;86;7;2.2;0;0;0;C 
Stasiun Geofisika Deli Serdang;14/01/2021;22.8;31.4;28.1;77;15.5;0;0;0;0;C 
Stasiun Geofisika Deli Serdang;14/01/2021;22.8;31.4;28.1;77;15.5;0;0;0;0;C 
Stasiun Geofisika Deli Serdang;15/01/2021;22.8;30;28.6;78;5;3.4;2;180;0;C 
Stasiun Geofisika Deli Serdang;15/01/2021;22.8;30;28.6;78;5;3.4;2;180;0;C 
Stasiun Geofisika Deli Serdang;16/01/2021;22.4;32.5;27.2;81;27;4.2;2;210;0;C 
Stasiun Geofisika Deli Serdang;16/01/2021;22.4;32.5;27.2;81;27;4.2;2;210;0;C 
Stasiun Geofisika Deli Serdang;17/01/2021;22.4;33.2;29.3;74;42.3;3.8;0;0;0;C 
Stasiun Geofisika Deli Serdang;18/01/2021;22.5;30.4;26.1;86;11.5;6.5;5;-;0;C 
Stasiun Geofisika Deli Serdang;19/01/2021;23.2;31.4;27.9;80;19;0.8;4;90;0;C 
Stasiun Geofisika Deli Serdang;20/01/2021;22.8;31.3;26.9;82;5.5;3.1;0;0;0;C 
Stasiun Geofisika Deli Serdang;21/01/2021;22.2;32.4;28.5;73;-;0.6;0;0;0;C 
Stasiun Geofisika Deli Serdang;21/01/2021;22.2;32.4;28.5;73;-;0.6;0;0;0;C 
Stasiun Geofisika Deli Serdang;22/01/2021;23.1;30.8;26.1;86;-;4.7;3;180;0;C 
Stasiun Geofisika Deli Serdang;23/01/2021;22.6;31.7;27.5;80;25.1;2.4;0;0;0;C 
Stasiun Geofisika Deli Serdang;24/01/2021;22.6;31.4;28;80;2;2.1;0;0;0;C 
Stasiun Geofisika Deli Serdang;24/01/2021;22.6;31.4;28;80;2;2.1;0;0;0;C 
Stasiun Geofisika Deli Serdang;25/01/2021;22.7;31.7;28.1;77;-;1.7;0;0;0;C 
Stasiun Geofisika Deli Serdang;25/01/2021;22.7;31.7;28.1;77;-;1.7;0;0;0;C 
Stasiun Geofisika Deli Serdang;26/01/2021;22;32.2;28.8;74;-;2;0;0;0;C 
Stasiun Geofisika Deli Serdang;26/01/2021;22;32.2;28.8;74;-;2;0;0;0;C 
Stasiun Geofisika Deli Serdang;27/01/2021;22.6;32.8;28.9;74;-;2.9;2;180;0;C 
